project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (mins),log size
rklaren/GradleJNI,F,1.3,N/A,,,,,0,12
zensoftio/versioning-gradle-plugin,error with test,5.2,no test,,,,,0,4
subiron/gradle-frontend-plugin,error with test,2.10,run time error,,,,,0,8
adaptivecomputing/plugins-gradle,F,,N/A,,,,,0,8
rwinch/gradle-multi-jdk,F,,N/A,,,,,0,4
dpreussler/gradle-pullrequest-builder,error with test,3.2,run time error,,,,,0,8
enzanki-ars/MineComplete,error with test,4.7,no test,,,,,0,4
daggerok/jboss422-jee5-ejb21,F,4.6,N/A,,,,,0,4
FunkeGoodVibe/ProjectManagementApp,F,3.5,N/A,,,,,0,4
MusheghKh/JavaFXTemplate-MVP,error with test,4.5.1,run time error,,,,,0,20
farizaghayev/TrainsAndTowns,F,,N/A,,,,,0,4
sloenthran/JavaCheckers,error with test,4.10.3,run time error,,,,,0,36
MLGMAG/Spring_CRUD,error with test,4.6,run time error,,,,,0,24
mayweather1993/Hotel_booking,error with test,4.5.1,run time error,,,,,0,40
kostek888888/bet-at-university,F,4.8,N/A,,,,,0,4
huijiewei/AgileJava,F,4.6,N/A,,,,,0,4
KeerthiBadiginchala/myRetail,error with test,3.5.1,no test,,,,,0,4
MikeJeffers/MSCD-Thesis,F,,N/A,,,,,0,4
alfr3dosv/stickman,F,,N/A,,,,,0,4
robanukah/harald-fairhair,error with test,4.3,run time error,,,,,0,16
Romain-P/Webservice-SpringREST-Oauth2:gta-auth,error with test,3.3,run time error,,,,,0,8
Romain-P/Webservice-SpringREST-Oauth2:gta-core,error with test,3.3,run time error,,,,,0,8
Romain-P/Webservice-SpringREST-Oauth2:gta-database,error with test,3.3,run time error,,,,,0,8
Romain-P/Webservice-SpringREST-Oauth2:gta-domain,error with test,3.3,run time error,,,,,0,8
Romain-P/Webservice-SpringREST-Oauth2:gta-frontend,error with test,3.3,run time error,,,,,1,8
Romain-P/Webservice-SpringREST-Oauth2:gta-service,error with test,3.3,run time error,,,,,1,8
Romain-P/Webservice-SpringREST-Oauth2:gta-service-api,error with test,3.3,run time error,,,,,1,8
Romain-P/Webservice-SpringREST-Oauth2:gta-shared,error with test,3.3,run time error,,,,,1,8
Unthrottled/hazelcast-serialization,error with test,3.4.1,run time error,,,,,0,8
vadivelmurugesan/spring-batch-admin,error with test,3.4.1,run time error,,,,,0,8
DanySK/build-commons,F,4.10.2,N/A,,,,,0,8
saksmt/dependency-properties-plugin,error with test,3.3,no test,,,,,0,4
jakriz/rxkotlin-movietrends,error with test,2.13,run time error,,,,,0,32
boliza/vertx-practice,F,3.3,N/A,,,,,0,4
