project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (mins),log size
vierbergenlars/plugin-updates-gradle-plugin,T,6.7,0,85,85,0,0,18,72
erdi/idea-gradle-plugins,T,5.6.4,0,23,0,23,0,2,628
semantic-gitlog/gradle-semantic-gitlog,T,6.6.1,0,1,1,0,0,4,104
fwilhe2/asciidoctor-pdf-theme-gradle-plugin,T,4.0.1,0,1,1,0,0,4,104
cacevedod/jte-test-gradle,T,6.3,0,2,2,0,0,6,64
manifold-systems/manifold-simple-gradle-project,T,7.2,0,3,3,0,0,4,68
herodes1991/gradle-quarkus-rest-client,T,5.4.1,0,4,0,2,2,8,116
Gab-Sire/spring-gradle-openapi-demo,T,6.3,0,1,1,0,0,5,76
Bisnode/opa-gradle-plugin,T,7.1.1,0,18,12,6,0,8,148
jkazama/sample-boot-scala,T,5.1.1,0,10,8,2,0,5,80
JaciBrunning/EmbeddedTools,T,6.0,0,92,92,0,0,12,100
MobileTribe/delivery-gradle-plugin:delivery-plugin,T,4.10.1,0,28,15,10,3,25,16972
xiaohuangya123/GradleSSM1,T,4.4,0,1,0,1,0,2,80
dkreth/shorty,T,6.4.1,0,1,1,0,0,7,68
masterlid/rest-java-api-3,T,6.6.1,0,2,2,0,0,2,60
retheviper/SpringBootSample:springbootsample-web,T,7.1,0,31,31,0,0,24,112
znsio/teswiz,T,7.3.3,0,14,14,0,0,5,968
ZacSweers/kgp-150-leak-patcher,T,7.0,0,3,3,0,0,2,60
jbake-org/jbake-gradle-plugin,T,6.8.3,0,21,21,0,0,84,116
ysb33r/ivypot-gradle-plugin,T,5.2.1,0,15,15,0,0,5,100
bmuschko/gradle-initializr,T,7.5.1,0,9,9,0,0,4,64
xvik/gradle-animalsniffer-plugin,T,6.9,0,87,86,0,1,216,104
jambestwick/demo2,T,4.5.1,0,1,0,1,0,5,136
IntershopCommunicationsAG/intershop-cisetup-plugin,T,2.11,0,10,7,3,0,17,168
umayrh/gradle-plugin-r:plugin,T,6.0.1,0,5,4,1,0,9,108
vividswan/Spring-Security-Project,T,6.6.1,0,1,0,1,0,4,104
cnduffield/gradlespring,T,5.6.2,0,1,1,0,0,5,72
siddharajmane/gradleforspotbugs,T,6.4.1,0,1,1,0,0,1,60
nerds-odd-e/cypress-techsharing,T,7.1.1,0,1,1,0,0,9,96
carloseugenio/gradle-tomcat,T,5.5.1,0,4,4,0,0,5,100
dev-fjk/task-management-api,T,7.1.1,0,15,15,0,0,25,68
Light-Board/light-board-back,T,6.3,0,4,2,2,0,238,156
dunmengjun/sqldsl,T,7.1,0,81,81,0,0,19,60
wpilibsuite/gradle-cpp-vscode,T,7.3.3,0,5,5,0,0,12,64
chit786/learnqa-docker-selenium-baseline,T,4.1,0,5,0,2,3,3,180
tzj1042/springBoot-kotlin,T,4.8.1,0,1,1,0,0,7,116
elastic/gradle-code-manifest-plugin,T,5.3.1,0,10,6,2,2,17,112
sirdir/gradle_testng_cucumber-jvm_example,T,5.4,0,6,6,0,0,1,108
mariuslit/java-tomcat-ShoppingCart-sportscarshop,T,4.10,0,1,1,0,0,0,64
oss-ci-examples/gradle-artifactory-example:impl,T,6.1,0,,,,,1,64
MartinYounghoonKim/springboot-gradle-application,T,5.6.4,0,1,0,1,0,10,84
yacoota/dts-shop:dts-core,T,6.1,0,1,0,1,0,2,72
yacoota/dts-shop:dts-dao,T,6.1,0,6,1,5,0,4,92
ivable/ICM-Code-Generator-Plugin,T,4.7,0,14,14,0,0,2,92
sridharbandi/Selenium-Testng-Template,T,5.1.1,0,2,0,1,1,3,76
me4502/NumbersToWords,T,3.5,0,5,5,0,0,0,60
kevcodez/Metronom-REST-API,T,5.1.1,0,17,17,0,0,2,60
hyuuny/hipcommerce:admin,T,6.8.1,0,17,17,0,0,29,332
hyuuny/hipcommerce:client,T,6.8.1,0,21,13,8,0,54,388
MihranGalstyan/CollectionsFramework-LinkedList,T,7.4,0,11,11,0,0,1,64
anandrajelu/TechSchool,T,6.4.1,0,5,5,0,0,11,176
kyrielia/my-spring-boot-starter:my-spring-boot-starter,T,7.5,0,6,6,0,0,3,64
kyrielia/my-spring-boot-starter:my-spring-boot-starter-s3,T,7.5,0,2,2,0,0,5,68
LuciferUchiha/Hydra,T,6.7,0,1,1,0,0,1,60
minghsu0107/spring-boot-api-example,T,6.9,0,4,4,0,0,10,68
jullierme/revolut-test,T,5.5.1,0,44,44,0,0,66,100
fouadkadi/Zip,T,5.6.2,0,1,1,0,0,1,56
trevjonez/AndroidGithubReleasePlugin:plugin,T,5.5,0,3,0,3,0,2,84
OlivierBillant/Spring-02-demoGradle,T,7.4.1,0,1,1,0,0,1,60
coolestdev/whatsapp-messager,T,4.10.2,0,7,1,6,0,10,224
bhatRV/gradle-template,T,7.2,0,1,0,1,0,2,72
changemyminds/Spring-Boot-UnitTest-Note,T,6.6.1,0,19,19,0,0,9,76
seven332/android-chinese-string-gradle-plugin,T,3.3,0,3,2,1,0,4,112
arnaud-deprez/demo-jenkins-pipeline-gradle,T,5.2.1,0,1,1,0,0,7,76
nikialeksey/porflavor:porflavor-gradle-plugin,T,7.3,0,2,2,0,0,18,68
clarityai-eng/codeartifact-gradle-plugin,T,7.0.2,0,10,10,0,0,2,64
michaelruocco/gradle-postman-runner,T,6.8.3,0,7,1,6,0,16,152
eerohele/saxon-gradle,T,7.2,0,17,17,0,0,24,192
cjstehno/gradle-natives,T,4.2.1,0,30,9,21,0,6,464
brian-mcnamara/plugin_uploader,T,7.4.2,0,47,47,0,0,23,64
bentolor/microframeworks-showcase:jodd,T,6.6.1,0,9,9,0,0,3,64
bentolor/microframeworks-showcase:ninja,T,6.6.1,0,10,10,0,0,6,108
bentolor/microframeworks-showcase:pippo,T,6.6.1,0,9,9,0,0,8,64
bentolor/microframeworks-showcase:ratpack,T,6.6.1,0,3,3,0,0,9,64
bentolor/microframeworks-showcase:spark,T,6.6.1,0,9,9,0,0,10,64
capcodigital/team-course,T,6.8.3,0,6,5,1,0,36,140
